raceNumber;time;contestant;score;child
8;1512817549.4331365;Bart_0_1.000000;140.606800118;
8;1512817549.4331365;Zack_1_0.940103;103.972007562;RIP
9;1512817553.4017189;Qurl_0_16.000000;275.500010058;Qurl_1_0.158046
9;1512817553.4017189;Fred_0_5.000000;275.451217081;
9;1512817553.4017189;Vlad_1_0.045624;261.331716269;
9;1512817553.4017189;Kent_0_10.000000;254.56227664;
9;1512817553.4017189;Hans_0_7.000000;234.786321663;
9;1512817553.4017189;Earl_0_4.000000;219.162853008;
9;1512817553.4017189;York_0_24.000000;202.496931495;
9;1512817553.4017189;Stan_2_0.048712;196.721230865;
9;1512817553.4017189;Xavi_0_23.000000;180.684638295;
9;1512817553.4017189;Bart_0_1.000000;100.146077957;RIP
10;1512817557.288388;Qurl_0_16.000000;504.503822303;Qurl_1_0.014402
10;1512817557.288388;Theo_0_19.000000;431.327544644;
10;1512817557.288388;Stan_2_0.048712;351.325456707;
10;1512817557.288388;York_0_24.000000;298.054691858;
10;1512817557.288388;Zack_0_25.000000;268.48467738;
10;1512817557.288388;Nora_0_13.000000;236.657563353;
10;1512817557.288388;Vlad_1_0.045624;207.168469155;
10;1512817557.288388;Fred_0_5.000000;191.437308445;
10;1512817557.288388;Vlad_0_21.000000;154.848180962;
10;1512817557.288388;Earl_0_4.000000;55.7640443185;RIP
11;1512817561.192204;Zack_0_25.000000;399.743248511;Zack_1_0.102077
11;1512817561.192204;Stan_2_0.048712;395.571871488;
11;1512817561.192204;Nora_0_13.000000;311.406660195;
11;1512817561.192204;Walt_0_22.000000;282.358274509;
11;1512817561.192204;Daan_0_3.000000;262.742058929;
11;1512817561.192204;Stan_2_0.034328;217.325775275;
11;1512817561.192204;Kent_0_10.000000;213.961720668;
11;1512817561.192204;Rick_0_17.000000;150.448493781;
11;1512817561.192204;Fred_0_5.000000;121.352413861;
11;1512817561.192204;York_0_24.000000;110.578364312;RIP
12;1512817565.1164012;Stan_1_0.002318;504.944329264;Stan_2_0.413767
12;1512817565.1164012;Stan_2_0.034328;495.068620042;
12;1512817565.1164012;Stan_1_0.319945;434.270175265;
12;1512817565.1164012;Theo_0_19.000000;417.182724742;
12;1512817565.1164012;Qurl_0_16.000000;364.791495353;
12;1512817565.1164012;Mark_0_12.000000;355.975485826;
12;1512817565.1164012;Rick_0_17.000000;225.219059947;
12;1512817565.1164012;Kent_0_10.000000;218.313767818;
12;1512817565.1164012;Stan_0_18.000000;166.786931037;
12;1512817565.1164012;Fred_0_5.000000;130.423602334;RIP
13;1512817568.8482304;Nora_0_13.000000;407.104782978;Nora_1_0.529807
13;1512817568.8482304;Stan_2_0.413767;287.72623747;
13;1512817568.8482304;Zack_0_25.000000;287.588302578;
13;1512817568.8482304;Vlad_1_0.045624;271.512661492;
13;1512817568.8482304;Stan_2_0.034328;263.569017034;
13;1512817568.8482304;Walt_0_22.000000;254.796664775;
13;1512817568.8482304;Stan_2_0.048712;217.37838077;
13;1512817568.8482304;Theo_1_0.083445;40.3132;
13;1512817568.8482304;Qurl_1_0.158046;33.7117;
13;1512817568.8482304;Mark_0_12.000000;26.6754732223;RIP
14;1512817572.6873817;Qurl_0_16.000000;561.160789283;Qurl_1_0.341101
14;1512817572.6873817;Stan_2_0.413767;462.59488967;
14;1512817572.6873817;Rick_0_17.000000;450.322667755;
14;1512817572.6873817;Zack_1_0.102077;291.44218432;
14;1512817572.6873817;Stan_2_0.034328;248.161709848;
14;1512817572.6873817;Iris_0_8.000000;204.382869943;
14;1512817572.6873817;Carl_0_2.000000;79.5315517644;
14;1512817572.6873817;Theo_1_0.083445;33.7712;
14;1512817572.6873817;Qurl_1_0.158046;33.3921;
14;1512817572.6873817;Fred_1_0.103246;7.83258326946;RIP
15;1512817576.502702;Stan_2_0.034328;259.260051628;Stan_3_0.002376
15;1512817576.502702;Iris_0_8.000000;190.578278302;
15;1512817576.502702;Daan_0_3.000000;171.256563083;
15;1512817576.502702;Qurl_0_16.000000;142.653449213;
15;1512817576.502702;Stan_2_0.048712;125.004790133;
15;1512817576.502702;Nora_0_13.000000;114.908252635;
15;1512817576.502702;Zack_1_0.102077;80.5989180376;
15;1512817576.502702;Vlad_0_21.000000;72.8036592383;
15;1512817576.502702;Rick_0_17.000000;60.3936875598;
15;1512817576.502702;Qurl_1_0.014402;27.1319956971;RIP
16;1512817580.1552196;Nora_0_13.000000;319.234631535;Nora_1_0.842450
16;1512817580.1552196;Stan_1_0.002318;284.929512348;
16;1512817580.1552196;Rick_0_17.000000;278.953606485;
16;1512817580.1552196;Carl_0_2.000000;240.72505362;
16;1512817580.1552196;Vlad_0_21.000000;230.515881169;
16;1512817580.1552196;Stan_2_0.048712;218.508451458;
16;1512817580.1552196;Zack_1_0.102077;209.507548756;
16;1512817580.1552196;Qurl_1_0.341101;165.367415634;
16;1512817580.1552196;Daan_0_3.000000;81.6561675636;
16;1512817580.1552196;Iris_0_8.000000;73.5017892981;RIP
17;1512817584.193533;Zack_0_25.000000;392.031240324;Zack_1_0.140045
17;1512817584.193533;Nora_1_0.529807;360.692312307;
17;1512817584.193533;Stan_0_18.000000;350.661279886;
17;1512817584.193533;Theo_0_19.000000;346.710202265;
17;1512817584.193533;Nora_1_0.842450;290.678386735;
17;1512817584.193533;Stan_2_0.034328;286.888243383;
17;1512817584.193533;Qurl_0_16.000000;269.612988106;
17;1512817584.193533;Carl_0_2.000000;236.567046961;
17;1512817584.193533;Daan_0_3.000000;176.475241867;
17;1512817584.193533;Qurl_1_0.158046;20.7712;RIP
18;1512817606.5990183;Rick_0_17.000000;484.9290231;Rick_1_0.271631
18;1512817606.5990183;Zack_0_25.000000;466.953142451;
18;1512817606.5990183;Stan_2_0.048712;414.327475427;
18;1512817606.5990183;Kent_0_10.000000;289.101521778;
18;1512817606.5990183;Zack_1_0.140045;246.4705704;
18;1512817606.5990183;Vlad_0_21.000000;244.274864718;
18;1512817606.5990183;Qurl_0_16.000000;238.404054433;
18;1512817606.5990183;Hans_0_7.000000;167.189697757;
18;1512817606.5990183;Carl_0_2.000000;166.345442799;
18;1512817606.5990183;Vlad_1_0.045624;160.788139042;RIP
19;1512817610.166155;Rick_1_0.271631;288.654760771;Rick_2_0.662543
19;1512817610.166155;Zack_1_0.102077;285.371138414;
19;1512817610.166155;Qurl_1_0.341101;269.04656083;
19;1512817610.166155;Theo_0_19.000000;262.914956051;
19;1512817610.166155;Nora_1_0.529807;104.284141952;
19;1512817610.166155;Kent_0_10.000000;82.6366679459;
19;1512817610.166155;Stan_3_0.002376;72.9440590936;
19;1512817610.166155;Zack_1_0.140045;35.1531938354;
19;1512817610.166155;Vlad_0_21.000000;27.9567688332;
19;1512817610.166155;Theo_1_0.083445;22.6719;RIP
20;1512817614.0524597;Xavi_0_23.000000;535.460681629;Xavi_1_0.439042
20;1512817614.0524597;Stan_2_0.048712;455.629797892;
20;1512817614.0524597;Zack_1_0.102077;445.021107662;
20;1512817614.0524597;Qurl_0_16.000000;443.21745191;
20;1512817614.0524597;Zack_1_0.140045;322.345584541;
20;1512817614.0524597;Stan_1_0.002318;291.292370698;
20;1512817614.0524597;Stan_0_18.000000;272.382540492;
20;1512817614.0524597;Carl_0_2.000000;250.375558675;
20;1512817614.0524597;Kent_0_10.000000;192.770539301;
20;1512817614.0524597;Nora_1_0.529807;155.63228343;RIP
21;1512817618.7583914;Zack_1_0.140045;1677.16635147;Zack_2_0.052879
21;1512817618.7583914;Qurl_0_16.000000;1618.33545628;
21;1512817618.7583914;Zack_0_25.000000;1603.80875303;
21;1512817618.7583914;Stan_1_0.319945;1542.54415292;
21;1512817618.7583914;Stan_0_18.000000;1481.44602914;
21;1512817618.7583914;Vlad_0_21.000000;1271.64203378;
21;1512817618.7583914;Nora_1_0.842450;1031.42797516;
21;1512817618.7583914;Carl_0_2.000000;945.438285242;
21;1512817618.7583914;Xavi_1_0.439042;832.127168067;
21;1512817618.7583914;Rick_2_0.662543;105.025135843;RIP
22;1512817622.6054776;Stan_1_0.319945;575.802487432;Stan_2_0.794215
22;1512817622.6054776;Rick_0_17.000000;434.278718379;
22;1512817622.6054776;Stan_2_0.413767;419.057544573;
22;1512817622.6054776;Stan_3_0.002376;322.477462551;
22;1512817622.6054776;Vlad_0_21.000000;293.973320532;
22;1512817622.6054776;Zack_0_25.000000;232.883221687;
22;1512817622.6054776;Theo_0_19.000000;227.751921446;
22;1512817622.6054776;Stan_2_0.048712;214.389369351;
22;1512817622.6054776;Carl_0_2.000000;156.940670339;
22;1512817622.6054776;Nora_1_0.842450;67.2644790473;RIP
23;1512817626.5726118;Rick_1_0.271631;498.690756688;Rick_2_0.002941
23;1512817626.5726118;Zack_1_0.140045;416.7973245;
23;1512817626.5726118;Zack_2_0.052879;405.542438671;
23;1512817626.5726118;Theo_0_19.000000;395.149400383;
23;1512817626.5726118;Stan_0_18.000000;393.302192346;
23;1512817626.5726118;Stan_1_0.002318;387.842411018;
23;1512817626.5726118;Stan_2_0.413767;249.137639448;
23;1512817626.5726118;Nora_0_13.000000;227.054251887;
23;1512817626.5726118;Daan_0_3.000000;225.387520983;
23;1512817626.5726118;Rick_0_17.000000;-34.5629247203;RIP
24;1512817630.3828332;Stan_2_0.034328;374.520288148;Stan_3_0.223827
24;1512817630.3828332;Rick_1_0.271631;289.361224516;
24;1512817630.3828332;Zack_0_25.000000;274.332507148;
24;1512817630.3828332;Theo_0_19.000000;270.427001492;
24;1512817630.3828332;Xavi_0_23.000000;239.212516706;
24;1512817630.3828332;Vlad_0_21.000000;205.287235311;
24;1512817630.3828332;Kent_0_10.000000;203.20378808;
24;1512817630.3828332;Stan_2_0.048712;144.441786003;
24;1512817630.3828332;Daan_0_3.000000;108.076155876;
24;1512817630.3828332;Carl_0_2.000000;85.0972039409;RIP
25;1512817634.1785154;Rick_1_0.271631;497.760407434;Rick_2_0.596378
25;1512817634.1785154;Stan_2_0.048712;390.709656198;
25;1512817634.1785154;Vlad_0_21.000000;272.308167086;
25;1512817634.1785154;Kent_0_10.000000;261.001124281;
25;1512817634.1785154;Stan_3_0.002376;256.034502316;
25;1512817634.1785154;Walt_0_22.000000;226.433625967;
25;1512817634.1785154;Hans_0_7.000000;220.183717768;
25;1512817634.1785154;Xavi_1_0.439042;205.756562112;
25;1512817634.1785154;Zack_1_0.102077;182.051629935;
25;1512817634.1785154;Nora_0_13.000000;180.116480349;RIP
26;1512817638.1428695;Stan_3_0.002376;419.843521646;Stan_4_0.117801
26;1512817638.1428695;Zack_1_0.102077;407.500123605;
26;1512817638.1428695;Stan_1_0.002318;395.596509161;
26;1512817638.1428695;Stan_2_0.413767;374.047860255;
26;1512817638.1428695;Kent_0_10.000000;325.949469779;
26;1512817638.1428695;Rick_2_0.002941;294.588518031;
26;1512817638.1428695;Stan_1_0.319945;245.32574406;
26;1512817638.1428695;Xavi_0_23.000000;216.986565628;
26;1512817638.1428695;Theo_0_19.000000;210.720065152;
26;1512817638.1428695;Stan_3_0.223827;100.337294208;RIP
27;1512817642.1005127;Rick_2_0.596378;502.079321588;Rick_3_0.337048
27;1512817642.1005127;Stan_1_0.319945;495.470940782;
27;1512817642.1005127;Stan_2_0.048712;483.409464377;
27;1512817642.1005127;Rick_2_0.002941;469.202568148;
27;1512817642.1005127;Stan_2_0.034328;419.229443567;
27;1512817642.1005127;Zack_2_0.052879;323.545990312;
27;1512817642.1005127;Zack_1_0.102077;308.968077182;
27;1512817642.1005127;Stan_1_0.002318;217.316232657;
27;1512817642.1005127;Zack_1_0.140045;202.410404664;
27;1512817642.1005127;Stan_3_0.002376;193.741723408;RIP
28;1512817646.0956666;Stan_0_18.000000;530.936688699;Stan_1_0.006741
28;1512817646.0956666;Xavi_0_23.000000;522.856871874;
28;1512817646.0956666;Zack_2_0.052879;300.247586557;
28;1512817646.0956666;Zack_0_25.000000;279.791173579;
28;1512817646.0956666;Zack_1_0.140045;270.632354998;
28;1512817646.0956666;Stan_1_0.002318;269.947474046;
28;1512817646.0956666;Stan_1_0.319945;244.430702241;
28;1512817646.0956666;Stan_2_0.048712;226.47660243;
28;1512817646.0956666;Kent_0_10.000000;65.2322273565;
28;1512817646.0956666;Daan_0_3.000000;53.2084093852;RIP
29;1512817650.1032367;Qurl_1_0.341101;616.914648021;Qurl_2_0.545847
29;1512817650.1032367;Zack_2_0.052879;497.374677001;
29;1512817650.1032367;Rick_3_0.337048;410.87680119;
29;1512817650.1032367;Stan_0_18.000000;372.827129775;
29;1512817650.1032367;Rick_1_0.271631;370.81998817;
29;1512817650.1032367;Rick_2_0.596378;321.898174457;
29;1512817650.1032367;Stan_1_0.319945;315.627280876;
29;1512817650.1032367;Zack_0_25.000000;218.2533855;
29;1512817650.1032367;Stan_2_0.413767;212.761798491;
29;1512817650.1032367;Zack_1_0.102077;154.597793652;RIP
30;1512817653.8038774;Vlad_0_21.000000;250.26838707;Vlad_1_0.177334
30;1512817653.8038774;Kent_0_10.000000;195.416185729;
30;1512817653.8038774;Walt_0_22.000000;181.092303145;
30;1512817653.8038774;Xavi_1_0.439042;161.631215948;
30;1512817653.8038774;Rick_1_0.271631;109.50833721;
30;1512817653.8038774;Qurl_1_0.341101;89.096419981;
30;1512817653.8038774;Hans_0_7.000000;74.7753662384;
30;1512817653.8038774;Xavi_0_23.000000;68.4969710178;
30;1512817653.8038774;Theo_0_19.000000;64.9209626563;
30;1512817653.8038774;Stan_2_0.034328;28.8300531909;RIP
31;1512817657.6404202;Qurl_2_0.545847;360.247693639;Qurl_3_0.082493
31;1512817657.6404202;Stan_0_18.000000;339.176037222;
31;1512817657.6404202;Qurl_0_16.000000;296.005334002;
31;1512817657.6404202;Theo_0_19.000000;270.559618642;
31;1512817657.6404202;Xavi_1_0.439042;252.21210543;
31;1512817657.6404202;Stan_1_0.002318;220.58632655;
31;1512817657.6404202;Rick_2_0.002941;203.176057097;
31;1512817657.6404202;Rick_1_0.271631;197.404957386;
31;1512817657.6404202;Xavi_0_23.000000;161.38012527;
31;1512817657.6404202;Stan_2_0.794215;137.314806936;RIP
32;1512817661.3703682;Zack_2_0.052879;421.215681895;Zack_3_0.022080
32;1512817661.3703682;Walt_0_22.000000;392.603798106;
32;1512817661.3703682;Vlad_0_21.000000;388.412883764;
32;1512817661.3703682;Qurl_0_16.000000;377.453716431;
32;1512817661.3703682;Qurl_2_0.545847;371.708965105;
32;1512817661.3703682;Stan_1_0.002318;336.011924532;
32;1512817661.3703682;Rick_2_0.002941;321.257194952;
32;1512817661.3703682;Vlad_1_0.177334;247.771048872;
32;1512817661.3703682;Zack_1_0.140045;245.402003606;
32;1512817661.3703682;Rick_2_0.596378;202.219627832;RIP
33;1512817665.30599;Qurl_1_0.341101;497.131734023;Qurl_2_0.002489
33;1512817665.30599;Stan_4_0.117801;496.928006239;
33;1512817665.30599;Zack_0_25.000000;487.933123046;
33;1512817665.30599;Theo_0_19.000000;430.784152422;
33;1512817665.30599;Stan_0_18.000000;405.929858904;
33;1512817665.30599;Rick_3_0.337048;391.254653627;
33;1512817665.30599;Stan_2_0.048712;372.233381459;
33;1512817665.30599;Rick_2_0.002941;338.302656441;
33;1512817665.30599;Xavi_1_0.439042;253.356256886;
33;1512817665.30599;Kent_0_10.000000;68.5278177224;RIP
34;1512817668.8614805;Rick_3_0.337048;263.905372618;Rick_4_0.006140
34;1512817668.8614805;Vlad_0_21.000000;255.49804476;
34;1512817668.8614805;Walt_0_22.000000;246.953657133;
34;1512817668.8614805;Stan_0_18.000000;225.194000531;
34;1512817668.8614805;Stan_2_0.048712;206.823952881;
34;1512817668.8614805;Hans_0_7.000000;77.6413149312;
34;1512817668.8614805;Stan_1_0.006741;52.12221984;
34;1512817668.8614805;Rick_1_0.271631;27.8609618518;
34;1512817668.8614805;Zack_0_25.000000;14.1715123288;
34;1512817668.8614805;Zack_2_0.052879;-24.698512986;RIP
35;1512817672.8268316;Rick_2_0.002941;349.873287428;Rick_3_0.369727
35;1512817672.8268316;Stan_4_0.117801;299.843949364;
35;1512817672.8268316;Stan_1_0.006741;272.439464797;
35;1512817672.8268316;Vlad_0_21.000000;271.172577559;
35;1512817672.8268316;Rick_1_0.271631;253.995084416;
35;1512817672.8268316;Qurl_0_16.000000;242.317513689;
35;1512817672.8268316;Theo_0_19.000000;237.160919416;
35;1512817672.8268316;Zack_3_0.022080;226.1463992;
35;1512817672.8268316;Qurl_2_0.002489;208.747494974;
35;1512817672.8268316;Vlad_1_0.177334;201.727633581;RIP
36;1512817677.0649047;Qurl_2_0.002489;752.436226051;Qurl_3_0.692409
36;1512817677.0649047;Stan_2_0.048712;736.750980245;
36;1512817677.0649047;Zack_0_25.000000;543.859990656;
36;1512817677.0649047;Rick_2_0.002941;467.830722964;
36;1512817677.0649047;Rick_1_0.271631;455.703859793;
36;1512817677.0649047;Zack_1_0.140045;427.039303096;
36;1512817677.0649047;Stan_1_0.002318;375.463123867;
36;1512817677.0649047;Qurl_1_0.341101;372.421357989;
36;1512817677.0649047;Rick_3_0.337048;311.629969066;
36;1512817677.0649047;Qurl_3_0.082493;101.883621093;RIP
37;1512817680.6182718;Stan_2_0.048712;248.343024928;Stan_3_0.272069
37;1512817680.6182718;Zack_1_0.140045;218.708901588;
37;1512817680.6182718;Stan_4_0.117801;187.239494983;
37;1512817680.6182718;Qurl_2_0.545847;142.646994596;
37;1512817680.6182718;Stan_1_0.319945;131.631691928;
37;1512817680.6182718;Qurl_2_0.002489;102.58009532;
37;1512817680.6182718;Zack_0_25.000000;78.7791992411;
37;1512817680.6182718;Stan_1_0.002318;73.1674823065;
37;1512817680.6182718;Hans_0_7.000000;59.4235277956;
37;1512817680.6182718;Xavi_1_0.439042;54.9777634555;RIP
38;1512817684.4149992;Zack_1_0.140045;275.571462618;Zack_2_0.185891
38;1512817684.4149992;Rick_3_0.337048;255.250645147;
38;1512817684.4149992;Zack_0_25.000000;252.509608941;
38;1512817684.4149992;Stan_2_0.413767;240.242201387;
38;1512817684.4149992;Rick_2_0.002941;224.932515965;
38;1512817684.4149992;Stan_3_0.272069;194.362637933;
38;1512817684.4149992;Theo_0_19.000000;191.974397558;
38;1512817684.4149992;Qurl_0_16.000000;104.742363705;
38;1512817684.4149992;Stan_1_0.002318;66.3949090638;
38;1512817684.4149992;Qurl_3_0.692409;10.568600606;RIP
39;1512817688.0829968;Stan_2_0.413767;255.832176087;Stan_3_0.430238
39;1512817688.0829968;Rick_2_0.002941;254.587425077;
39;1512817688.0829968;Qurl_0_16.000000;235.096115276;
39;1512817688.0829968;Qurl_2_0.545847;211.327524496;
39;1512817688.0829968;Qurl_1_0.341101;210.30172928;
39;1512817688.0829968;Theo_0_19.000000;201.222695893;
39;1512817688.0829968;Walt_0_22.000000;182.580541889;
39;1512817688.0829968;Vlad_0_21.000000;153.331666327;
39;1512817688.0829968;Zack_3_0.022080;77.1578604067;
39;1512817688.0829968;Zack_2_0.185891;32.8504;RIP
40;1512817692.0081344;Qurl_2_0.002489;579.336174037;Qurl_3_0.901346
40;1512817692.0081344;Rick_2_0.002941;501.756780031;
40;1512817692.0081344;Zack_0_25.000000;481.532843425;
40;1512817692.0081344;Rick_4_0.006140;470.599915001;
40;1512817692.0081344;Xavi_0_23.000000;388.805017568;
40;1512817692.0081344;Rick_3_0.337048;387.585398095;
40;1512817692.0081344;Stan_1_0.006741;333.667710721;
40;1512817692.0081344;Stan_3_0.272069;299.949539501;
40;1512817692.0081344;Theo_0_19.000000;261.747160918;
40;1512817692.0081344;Qurl_2_0.545847;79.9117768431;RIP
41;1512817695.9048476;Theo_0_19.000000;286.550745725;Theo_1_0.024339
41;1512817695.9048476;Qurl_0_16.000000;275.040317005;
41;1512817695.9048476;Zack_0_25.000000;272.872627338;
41;1512817695.9048476;Xavi_0_23.000000;266.664141788;
41;1512817695.9048476;Rick_1_0.271631;261.884586176;
41;1512817695.9048476;Stan_1_0.002318;240.380353379;
41;1512817695.9048476;Stan_0_18.000000;228.137187272;
41;1512817695.9048476;Rick_3_0.369727;217.003485295;
41;1512817695.9048476;Hans_0_7.000000;146.603164229;
41;1512817695.9048476;Qurl_1_0.341101;118.948347009;RIP
42;1512817699.7826033;Rick_3_0.369727;305.884138949;Rick_4_0.002448
42;1512817699.7826033;Qurl_3_0.901346;291.772080058;
42;1512817699.7826033;Walt_0_22.000000;287.604254566;
42;1512817699.7826033;Xavi_0_23.000000;264.832816098;
42;1512817699.7826033;Stan_3_0.430238;246.864968992;
42;1512817699.7826033;Qurl_2_0.002489;245.78003157;
42;1512817699.7826033;Zack_3_0.022080;211.845599133;
42;1512817699.7826033;Stan_2_0.048712;201.942437037;
42;1512817699.7826033;Rick_2_0.002941;199.568688572;
42;1512817699.7826033;Hans_0_7.000000;191.815030297;RIP
43;1512817703.7788496;Qurl_0_16.000000;459.776129369;Qurl_1_0.797386
43;1512817703.7788496;Rick_1_0.271631;456.325990437;
43;1512817703.7788496;Stan_3_0.430238;393.502942614;
43;1512817703.7788496;Stan_1_0.002318;376.808665209;
43;1512817703.7788496;Zack_1_0.140045;342.936563668;
43;1512817703.7788496;Zack_0_25.000000;327.971143215;
43;1512817703.7788496;Theo_1_0.024339;319.872320606;
43;1512817703.7788496;Zack_3_0.022080;307.003379088;
43;1512817703.7788496;Rick_2_0.002941;243.951975282;
43;1512817703.7788496;Stan_2_0.048712;224.86557342;RIP
44;1512817707.7408452;Stan_4_0.117801;542.611546884;Stan_5_0.528804
44;1512817707.7408452;Rick_4_0.006140;506.798313644;
44;1512817707.7408452;Qurl_2_0.002489;487.293059978;
44;1512817707.7408452;Zack_3_0.022080;438.072289539;
44;1512817707.7408452;Stan_1_0.006741;430.65634843;
44;1512817707.7408452;Walt_0_22.000000;324.330494967;
44;1512817707.7408452;Stan_0_18.000000;283.87825101;
44;1512817707.7408452;Zack_0_25.000000;276.727355588;
44;1512817707.7408452;Rick_2_0.002941;271.874774784;
44;1512817707.7408452;Rick_3_0.369727;23.7430778338;RIP
45;1512817711.3253543;Stan_5_0.528804;271.586877488;Stan_6_0.110165
45;1512817711.3253543;Vlad_0_21.000000;211.000424424;
45;1512817711.3253543;Walt_0_22.000000;169.477068118;
45;1512817711.3253543;Rick_1_0.271631;150.757465957;
45;1512817711.3253543;Stan_2_0.413767;131.86554579;
45;1512817711.3253543;Theo_0_19.000000;96.1877059929;
45;1512817711.3253543;Stan_1_0.319945;58.0912764613;
45;1512817711.3253543;Qurl_1_0.797386;48.4491912701;
45;1512817711.3253543;Zack_3_0.022080;45.8011162458;
45;1512817711.3253543;Stan_1_0.002318;35.8078673913;RIP
46;1512817715.8789747;Xavi_0_23.000000;905.78100024;Xavi_1_0.735927
46;1512817715.8789747;Qurl_2_0.002489;524.202466082;
46;1512817715.8789747;Rick_3_0.337048;345.061421916;
46;1512817715.8789747;Stan_0_18.000000;340.146301724;
46;1512817715.8789747;Zack_0_25.000000;291.889523463;
46;1512817715.8789747;Rick_2_0.002941;245.87654555;
46;1512817715.8789747;Walt_0_22.000000;223.07375412;
46;1512817715.8789747;Stan_6_0.110165;82.2437852817;
