raceNumber;time;contestant;score;child
1;1512817463.1053948;Fred_0_5.000000;293.078363214;Fred_1_0.103246
1;1512817463.1053948;Stan_0_18.000000;268.967329675;
1;1512817463.1053948;Nora_0_13.000000;216.128336335;
1;1512817463.1053948;Xavi_0_23.000000;191.793534061;
1;1512817463.1053948;Carl_0_2.000000;191.449815487;
1;1512817463.1053948;Olga_0_14.000000;157.935827596;
1;1512817463.1053948;Earl_0_4.000000;154.801230257;
1;1512817463.1053948;Vlad_0_21.000000;147.706794137;
1;1512817463.1053948;Theo_0_19.000000;105.299401155;
1;1512817463.1053948;Uris_0_20.000000;78.5500554016;RIP
2;1512817512.02583;Stan_0_18.000000;401.938290792;Stan_1_0.002318
2;1512817512.02583;Mark_0_12.000000;365.194696254;
2;1512817512.02583;Greg_0_6.000000;333.351501805;
2;1512817512.02583;Nora_0_13.000000;326.924388338;
2;1512817512.02583;Fred_1_0.103246;235.892007373;
2;1512817512.02583;Bart_0_1.000000;177.088829199;
2;1512817512.02583;Xavi_0_23.000000;166.847544637;
2;1512817512.02583;Carl_0_2.000000;111.348291845;
2;1512817512.02583;Fred_0_5.000000;104.239565498;
2;1512817512.02583;Jens_0_9.000000;78.4661380833;RIP
3;1512817529.2902825;Stan_0_18.000000;556.540316945;Stan_1_0.319945
3;1512817529.2902825;Qurl_0_16.000000;301.409069535;
3;1512817529.2902825;Stan_1_0.002318;285.396642541;
3;1512817529.2902825;Kent_0_10.000000;275.054489174;
3;1512817529.2902825;Greg_0_6.000000;269.534307024;
3;1512817529.2902825;Daan_0_3.000000;254.314814995;
3;1512817529.2902825;Fred_1_0.103246;229.569395394;
3;1512817529.2902825;Carl_0_2.000000;164.080062407;
3;1512817529.2902825;Vlad_0_21.000000;131.634326132;
3;1512817529.2902825;Pete_0_15.000000;86.6662591305;RIP
4;1512817533.0232115;Vlad_0_21.000000;273.837946675;Vlad_1_0.045624
4;1512817533.0232115;Mark_0_12.000000;269.48938999;
4;1512817533.0232115;Rick_0_17.000000;230.592393625;
4;1512817533.0232115;Kent_0_10.000000;147.407278726;
4;1512817533.0232115;Olga_0_14.000000;144.381442256;
4;1512817533.0232115;Theo_0_19.000000;122.822026363;
4;1512817533.0232115;Daan_0_3.000000;85.0732651304;
4;1512817533.0232115;Fred_1_0.103246;55.4328559156;
4;1512817533.0232115;York_0_24.000000;36.657973703;
4;1512817533.0232115;Greg_0_6.000000;25.7466305961;RIP
5;1512817536.965437;Stan_1_0.002318;479.257250161;Stan_2_0.048712
5;1512817536.965437;Walt_0_22.000000;471.296431548;
5;1512817536.965437;Nora_0_13.000000;443.64702959;
5;1512817536.965437;Theo_0_19.000000;386.911949432;
5;1512817536.965437;York_0_24.000000;313.634933329;
5;1512817536.965437;Earl_0_4.000000;245.635361194;
5;1512817536.965437;Anne_0_0.000000;186.261639411;
5;1512817536.965437;Iris_0_8.000000;131.54586772;
5;1512817536.965437;Mark_0_12.000000;111.590694119;
5;1512817536.965437;Olga_0_14.000000;54.2030447333;RIP
6;1512817541.6473992;Zack_0_25.000000;1665.66667914;Zack_1_0.940103
6;1512817541.6473992;Vlad_1_0.045624;1499.48873322;
6;1512817541.6473992;Theo_0_19.000000;1413.58036915;
6;1512817541.6473992;Stan_2_0.048712;1324.55456892;
6;1512817541.6473992;Xavi_0_23.000000;1238.87871042;
6;1512817541.6473992;Walt_0_22.000000;1154.61223593;
6;1512817541.6473992;Mark_0_12.000000;834.915413214;
6;1512817541.6473992;Fred_0_5.000000;669.943624201;
6;1512817541.6473992;Bart_0_1.000000;519.877397474;
6;1512817541.6473992;Lois_0_11.000000;282.873694583;RIP
7;1512817545.4288626;Stan_1_0.002318;531.739469502;Stan_2_0.034328
7;1512817545.4288626;Xavi_0_23.000000;405.779797023;
7;1512817545.4288626;Zack_1_0.940103;305.808501653;
7;1512817545.4288626;Hans_0_7.000000;286.43867896;
7;1512817545.4288626;Vlad_0_21.000000;272.795356219;
7;1512817545.4288626;Stan_2_0.048712;251.073950335;
7;1512817545.4288626;Mark_0_12.000000;231.03112676;
7;1512817545.4288626;Fred_0_5.000000;101.049911384;
7;1512817545.4288626;Nora_0_13.000000;58.6069670241;
7;1512817545.4288626;Anne_0_0.000000;16.4459151363;RIP
8;1512817549.4331365;Theo_0_19.000000;441.016601544;Theo_1_0.083445
8;1512817549.4331365;York_0_24.000000;405.438391091;
8;1512817549.4331365;Zack_0_25.000000;384.33397528;
8;1512817549.4331365;Xavi_0_23.000000;349.037320531;
8;1512817549.4331365;Vlad_0_21.000000;332.427798559;
8;1512817549.4331365;Nora_0_13.000000;218.190932824;
8;1512817549.4331365;Fred_1_0.103246;205.626263815;
8;1512817549.4331365;Kent_0_10.000000;170.06610078;
