raceNumber;time;contestant;score;child
5;1512821457.505085;Jens_0_9.000000;4283.83773326;
5;1512821457.505085;Anne_1_0.083448;4183.25414085;
5;1512821457.505085;Olga_0_14.000000;4098.53645468;
5;1512821457.505085;Kent_0_10.000000;4075.42922936;
5;1512821457.505085;Pete_0_15.000000;2499.50817971;
5;1512821457.505085;Uris_0_20.000000;2467.70470082;
5;1512821457.505085;Walt_0_22.000000;2463.06535139;
5;1512821457.505085;Fred_1_0.279379;2383.79862489;
5;1512821457.505085;Anne_2_1.023267;-38.2324751733;RIP
6;1512821467.7554452;Anne_0_0.000000;5172.80206173;Anne_1_0.696941
6;1512821467.7554452;Carl_0_2.000000;4927.31456374;
6;1512821467.7554452;Hans_1_0.119626;4863.90236264;
6;1512821467.7554452;Earl_0_4.000000;4740.20075919;
6;1512821467.7554452;Jens_0_9.000000;4726.51793228;
6;1512821467.7554452;Kent_0_10.000000;4700.62695219;
6;1512821467.7554452;Uris_0_20.000000;2871.8536697;
6;1512821467.7554452;Olga_0_14.000000;2819.69429949;
6;1512821467.7554452;Zack_0_25.000000;2812.06558735;
6;1512821467.7554452;York_0_24.000000;2777.35695127;RIP
7;1512821477.8601632;Anne_0_0.000000;5349.75338646;Anne_1_0.716241
7;1512821477.8601632;Bart_0_1.000000;5238.35282755;
7;1512821477.8601632;Uris_0_20.000000;5011.51889851;
7;1512821477.8601632;Vlad_0_21.000000;4944.30222841;
7;1512821477.8601632;Xavi_0_23.000000;4918.87761214;
7;1512821477.8601632;Hans_1_0.119626;4683.40899559;
7;1512821477.8601632;Theo_0_19.000000;2893.36230071;
7;1512821477.8601632;Uris_1_0.010080;2885.99674509;
7;1512821477.8601632;Olga_0_14.000000;2860.14660264;
7;1512821477.8601632;Pete_0_15.000000;2856.07189077;RIP
8;1512821486.6811712;Fred_0_5.000000;4745.93827739;Fred_1_0.001553
8;1512821486.6811712;Earl_0_4.000000;4714.01482134;
8;1512821486.6811712;Daan_0_3.000000;4706.66904321;
8;1512821486.6811712;Uris_0_20.000000;3351.24690294;
8;1512821486.6811712;Anne_1_0.716241;2408.93441082;
8;1512821486.6811712;Theo_0_19.000000;2308.84356443;
8;1512821486.6811712;Rick_0_17.000000;2273.70196131;
8;1512821486.6811712;Walt_0_22.000000;2248.51209615;
8;1512821486.6811712;Olga_0_14.000000;2245.88890737;
8;1512821486.6811712;Fred_1_0.279379;2184.92647071;RIP
9;1512821497.189727;Anne_1_0.083448;5321.75340531;Anne_2_0.058151
9;1512821497.189727;Hans_1_0.119626;5283.63663398;
9;1512821497.189727;Fred_0_5.000000;5166.56423196;
9;1512821497.189727;Jens_0_9.000000;4438.01731319;
9;1512821497.189727;Olga_0_14.000000;3452.51011625;
9;1512821497.189727;Uris_0_20.000000;3182.39300219;
9;1512821497.189727;Vlad_0_21.000000;3116.05755551;
9;1512821497.189727;Xavi_0_23.000000;3114.98841964;
9;1512821497.189727;Anne_1_0.696941;2949.19565668;
9;1512821497.189727;Zack_0_25.000000;2253.7201547;RIP
10;1512821507.2118704;Bart_0_1.000000;4738.28023876;Bart_1_0.550010
10;1512821507.2118704;Earl_0_4.000000;4737.2151532;
10;1512821507.2118704;Walt_0_22.000000;4505.34358227;
10;1512821507.2118704;Uris_1_0.010080;4484.14762694;
10;1512821507.2118704;Uris_0_20.000000;4476.35418395;
10;1512821507.2118704;Olga_0_14.000000;4464.55313301;
10;1512821507.2118704;Fred_0_5.000000;4459.474112;
10;1512821507.2118704;Fred_1_0.001553;4440.07019218;
10;1512821507.2118704;Daan_0_3.000000;4420.75209899;
10;1512821507.2118704;Anne_1_0.716241;2645.83689162;RIP
11;1512821515.2694917;Stan_0_18.000000;3675.16598769;Stan_1_0.008094
11;1512821515.2694917;Anne_2_0.058151;2976.34688094;
11;1512821515.2694917;Anne_1_0.083448;2897.40711426;
11;1512821515.2694917;Vlad_0_21.000000;2826.41958072;
11;1512821515.2694917;Olga_0_14.000000;2731.94953221;
11;1512821515.2694917;Fred_1_0.001553;2576.66367928;
11;1512821515.2694917;Bart_0_1.000000;1676.15043627;
11;1512821515.2694917;Jens_0_9.000000;1520.98891786;
11;1512821515.2694917;Daan_0_3.000000;1506.20395038;
11;1512821515.2694917;Anne_1_0.696941;651.405036873;RIP
12;1512821524.3659773;Anne_0_0.000000;3420.57154047;Anne_1_0.036003
12;1512821524.3659773;Fred_0_5.000000;3256.77708628;
12;1512821524.3659773;Carl_0_2.000000;3251.75730302;
12;1512821524.3659773;Fred_1_0.001553;3185.7221187;
12;1512821524.3659773;Vlad_0_21.000000;3169.60821514;
12;1512821524.3659773;Kent_0_10.000000;3168.00752985;
12;1512821524.3659773;Olga_0_14.000000;3163.28759563;
12;1512821524.3659773;Jens_0_9.000000;3133.11287664;
12;1512821524.3659773;Xavi_0_23.000000;3132.86519214;
12;1512821524.3659773;Theo_0_19.000000;3104.08354804;RIP
13;1512821530.4520535;Anne_2_0.058151;2387.94610414;Anne_3_0.599682
13;1512821530.4520535;Bart_0_1.000000;1232.07247011;
13;1512821530.4520535;Daan_0_3.000000;1133.92302018;
13;1512821530.4520535;Uris_0_20.000000;1118.56391161;
13;1512821530.4520535;Rick_0_17.000000;1087.34165143;
13;1512821530.4520535;Walt_0_22.000000;1080.25087298;
13;1512821530.4520535;Xavi_0_23.000000;1012.90296827;
13;1512821530.4520535;Nora_0_13.000000;1006.58912775;
13;1512821530.4520535;Fred_0_5.000000;950.04451354;
13;1512821530.4520535;Hans_1_0.119626;244.454872553;RIP
14;1512821539.656686;Bart_0_1.000000;3326.0152231;Bart_1_0.242185
14;1512821539.656686;Earl_0_4.000000;3286.73479129;
14;1512821539.656686;Mark_0_12.000000;3252.61470302;
14;1512821539.656686;Vlad_0_21.000000;3246.17770117;
14;1512821539.656686;Walt_0_22.000000;3227.29889883;
14;1512821539.656686;Fred_0_5.000000;3202.8787462;
14;1512821539.656686;Uris_1_0.010080;3198.72021247;
14;1512821539.656686;Daan_0_3.000000;3164.36720322;
14;1512821539.656686;Rick_0_17.000000;3159.02453971;
14;1512821539.656686;Hans_0_7.000000;3137.87492942;RIP
15;1512821549.7336087;Bart_1_0.242185;5704.04533827;Bart_2_0.270291
15;1512821549.7336087;Anne_0_0.000000;5596.43291687;
15;1512821549.7336087;Carl_0_2.000000;5472.32035333;
15;1512821549.7336087;Xavi_0_23.000000;4116.18067948;
15;1512821549.7336087;Mark_0_12.000000;2748.58139419;
15;1512821549.7336087;Vlad_0_21.000000;2464.38371771;
15;1512821549.7336087;Stan_0_18.000000;2461.1217364;
15;1512821549.7336087;Uris_1_0.010080;2450.99227171;
15;1512821549.7336087;Stan_1_0.008094;2449.1435173;
15;1512821549.7336087;Bart_1_0.550010;58.918;RIP
16;1512821559.554686;Bart_2_0.270291;5122.4018861;Bart_3_0.024610
16;1512821559.554686;Fred_0_5.000000;5082.92948896;
16;1512821559.554686;Anne_1_0.083448;4832.86909288;
16;1512821559.554686;Carl_0_2.000000;4713.41480985;
16;1512821559.554686;Olga_0_14.000000;2899.89075893;
16;1512821559.554686;Stan_0_18.000000;2880.15984948;
16;1512821559.554686;Rick_0_17.000000;2848.56511689;
16;1512821559.554686;Nora_0_13.000000;2836.56759935;
16;1512821559.554686;Stan_1_0.008094;2791.51803248;
16;1512821559.554686;Anne_3_0.599682;2729.72517509;RIP
17;1512821569.9830668;Bart_0_1.000000;5398.46499475;Bart_1_0.001727
17;1512821569.9830668;Carl_0_2.000000;5354.03983739;
17;1512821569.9830668;Anne_2_0.058151;5024.06030155;
17;1512821569.9830668;Walt_0_22.000000;4977.23190131;
17;1512821569.9830668;Xavi_0_23.000000;4939.460273;
17;1512821569.9830668;Kent_0_10.000000;4817.0169932;
17;1512821569.9830668;Fred_0_5.000000;4689.82781957;
17;1512821569.9830668;Nora_0_13.000000;2843.58897445;
17;1512821569.9830668;Stan_0_18.000000;2820.74798996;
17;1512821569.9830668;Mark_0_12.000000;2808.62865251;RIP
18;1512821581.20363;Bart_3_0.024610;5966.75603424;Bart_4_0.007138
18;1512821581.20363;Bart_2_0.270291;5952.41372778;
18;1512821581.20363;Bart_1_0.001727;5757.00438915;
18;1512821581.20363;Fred_1_0.001553;5718.53166762;
18;1512821581.20363;Fred_0_5.000000;4806.1162661;
18;1512821581.20363;Carl_0_2.000000;4804.76532362;
18;1512821581.20363;Jens_0_9.000000;4792.53013927;
18;1512821581.20363;Xavi_0_23.000000;3406.32938907;
18;1512821581.20363;Nora_0_13.000000;3404.01749973;
18;1512821581.20363;Uris_1_0.010080;2271.37888764;RIP
19;1512821591.7598438;Bart_1_0.001727;5576.7794116;Bart_2_0.000097
19;1512821591.7598438;Bart_3_0.024610;5475.12654552;
19;1512821591.7598438;Fred_0_5.000000;5255.32186236;
19;1512821591.7598438;Bart_1_0.242185;5177.78069863;
19;1512821591.7598438;Fred_1_0.001553;4490.29565105;
19;1512821591.7598438;Carl_0_2.000000;4433.07110366;
19;1512821591.7598438;Walt_0_22.000000;3170.40029114;
19;1512821591.7598438;Xavi_0_23.000000;3141.30117836;
19;1512821591.7598438;Kent_0_10.000000;2963.47625148;
19;1512821591.7598438;Stan_0_18.000000;2179.78463572;RIP
20;1512821601.82751;Bart_1_0.001727;4913.32345553;Bart_2_0.313999
20;1512821601.82751;Bart_1_0.242185;4574.7947949;
20;1512821601.82751;Uris_0_20.000000;4526.14110819;
20;1512821601.82751;Fred_0_5.000000;4454.34900281;
